NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month
2974286,2022-04-04,2022-04-04,17:48:33,17:50:02,3263.0,2200000.0,"1,483",158.6,156.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974391,2022-04-04,2022-04-04,18:12:32,18:17:00,14942.0,3345000.0,"4,467",160.8,157.5,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975879,2022-04-05,2022-04-05,16:30:32,16:35:03,13878.0,3073000.0,"4,517",160.8,158.3,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973589,2022-04-04,2022-04-04,15:34:31,15:42:00,18772.0,2508000.0,"7,483",160.8,158.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974771,2022-04-05,2022-04-05,07:56:31,09:24:00,525217.0,6004000.0,"87,483",159.6,156.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 87,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974944,2022-04-05,2022-04-05,08:16:31,08:18:00,3115.0,2100000.0,"1,483",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975793,2022-04-05,2022-04-05,16:16:32,16:27:00,28020.0,2677000.0,"10,467",158.0,155.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 10,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977836,2022-04-06,2022-04-06,17:51:29,17:57:01,16947.0,3063000.0,"5,533",160.7,157.1,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2971671,2022-04-01,2022-04-01,11:06:30,12:06:44,166003.0,2756000.0,"60,233",158.0,156.0,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,defective truck (s),VWM 23,Defective Truck(s),Defective Truck,Incident (Stranded Vehicle),Incident,1
2972970,2022-04-04,2022-04-04,08:10:30,08:15:02,13507.0,2979000.0,"4,533",159.6,157.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973867,2022-04-04,2022-04-04,16:45:32,16:47:00,2933.0,2000000.0,"1,467",158.6,156.6,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975214,2022-04-05,2022-04-05,08:47:32,08:52:00,9467.0,2119000.0,"4,467",159.7,157.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976186,2022-04-05,2022-04-05,17:17:32,17:23:00,12663.0,2316000.0,"5,467",158.1,155.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973875,2022-04-04,2022-04-04,16:47:32,16:51:00,7973.0,2300000.0,"3,467",158.7,156.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978349,2022-04-07,2022-04-07,08:01:27,08:04:01,5647.0,2200000.0,"2,567",157.6,155.4,A,59,A59,ascending,Oss-Oost,Paalgraven,'s-Hertogenbosch,Oss,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974536,2022-04-05,2022-04-05,07:06:27,07:09:00,6085.0,2386000.0,"2,550",159.9,157.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975905,2022-04-05,2022-04-05,16:35:32,16:40:02,5870.0,1304000.0,"4,500",157.6,156.4,A,59,A59,ascending,Oss-Oost,Paalgraven,'s-Hertogenbosch,Oss,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973890,2022-04-04,2022-04-04,16:49:33,17:14:00,58095.0,2376000.0,"24,450",160.9,158.6,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 24,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974972,2022-04-05,2022-04-05,08:19:32,08:21:01,1928.0,1300000.0,"1,483",157.6,156.3,A,59,A59,ascending,Oss-Oost,Paalgraven,'s-Hertogenbosch,Oss,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973994,2022-04-04,2022-04-04,17:07:32,17:42:00,79922.0,2319000.0,"34,467",158.0,155.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 34,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974889,2022-04-05,2022-04-05,08:10:31,08:13:00,5587.0,2250000.0,"2,483",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976247,2022-04-05,2022-04-05,17:24:32,17:31:00,16970.0,2624000.0,"6,467",158.8,156.5,A,1,A1,ascending,Hengelo,Hengelo-Noord,Hengelo,Duitse grens,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973801,2022-04-04,2022-04-04,16:34:32,16:36:00,2933.0,2000000.0,"1,467",158.8,156.8,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973901,2022-04-04,2022-04-04,16:51:32,17:07:00,36963.0,2390000.0,"15,467",158.5,156.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 15,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975928,2022-04-05,2022-04-05,16:39:32,16:41:01,4005.0,2700000.0,"1,483",161.0,158.3,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977817,2022-04-06,2022-04-06,17:46:29,17:51:00,20223.0,4477000.0,"4,517",160.7,156.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978237,2022-04-07,2022-04-07,07:46:26,09:33:00,725243.0,6806000.0,"106,567",159.8,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 107,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978300,2022-04-07,2022-04-07,07:55:26,07:57:00,2193.0,1400000.0,"1,567",157.6,156.2,A,59,A59,ascending,Oss-Oost,Paalgraven,'s-Hertogenbosch,Oss,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978361,2022-04-07,2022-04-07,08:02:27,08:07:00,14205.0,3122000.0,"4,550",159.5,156.8,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978494,2022-04-07,2022-04-07,08:16:28,08:19:01,5605.0,2198000.0,"2,550",159.6,157.5,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974741,2022-04-05,2022-04-05,07:52:30,07:55:02,5497.0,2170000.0,"2,533",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974817,2022-04-05,2022-04-05,08:02:30,08:06:01,8110.0,2306000.0,"3,517",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975932,2022-04-05,2022-04-05,16:40:32,16:42:00,3080.0,2100000.0,"1,467",158.6,156.5,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973813,2022-04-04,2022-04-04,16:35:32,16:38:00,5590.0,2266000.0,"2,467",160.8,158.5,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974099,2022-04-04,2022-04-04,17:22:33,17:43:00,55142.0,2696000.0,"20,450",160.9,158.5,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 20,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975942,2022-04-05,2022-04-05,16:42:32,16:44:00,2933.0,2000000.0,"1,467",158.2,156.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976235,2022-04-05,2022-04-05,17:23:32,17:57:00,92950.0,2777000.0,"33,467",158.0,155.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 33,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978476,2022-04-07,2022-04-07,08:13:28,08:15:02,3760.0,2400000.0,"1,567",160.6,158.2,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975948,2022-04-05,2022-04-05,16:42:32,16:47:01,9607.0,2143000.0,"4,483",157.6,155.6,A,59,A59,ascending,Oss-Oost,Paalgraven,'s-Hertogenbosch,Oss,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977757,2022-04-06,2022-04-06,17:37:31,17:39:00,3263.0,2200000.0,"1,483",158.8,156.6,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977824,2022-04-06,2022-04-06,17:48:29,17:54:00,12727.0,2307000.0,"5,517",158.5,156.3,A,1,A1,ascending,Hengelo,Hengelo-Noord,Hengelo,Duitse grens,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973826,2022-04-04,2022-04-04,16:38:32,16:40:02,3000.0,2000000.0,"1,500",158.7,156.7,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975949,2022-04-05,2022-04-05,16:42:32,16:44:00,3520.0,2400000.0,"1,467",160.9,158.5,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2971420,2022-04-01,2022-04-01,06:20:23,06:22:00,3395.0,2100000.0,"1,617",157.3,155.2,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2981064,2022-04-08,2022-04-08,16:29:29,17:03:00,87412.0,2608000.0,"33,517",158.0,155.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 34,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2981418,2022-04-08,2022-04-08,17:56:28,18:05:01,21068.0,2464000.0,"8,550",157.9,155.6,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 9,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978842,2022-04-07,2022-04-07,08:56:28,08:58:00,3987.0,2600000.0,"1,533",159.5,156.9,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2980822,2022-04-08,2022-04-08,15:35:29,15:37:00,3185.0,2100000.0,"1,517",158.1,156.0,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2982405,2022-04-11,2022-04-11,08:59:27,09:01:00,3100.0,2000000.0,"1,550",160.2,158.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2981253,2022-04-08,2022-04-08,17:10:29,17:18:00,16542.0,2201000.0,"7,517",158.3,156.1,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2981302,2022-04-08,2022-04-08,17:20:29,17:27:00,14822.0,2274000.0,"6,517",158.0,155.7,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2982807,2022-04-11,2022-04-11,16:28:29,16:30:02,3565.0,2300000.0,"1,550",159.5,157.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978568,2022-04-07,2022-04-07,08:25:28,08:30:03,12175.0,2656000.0,"4,583",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2982413,2022-04-11,2022-04-11,09:03:27,09:09:00,17867.0,3219000.0,"5,550",159.8,156.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2980705,2022-04-08,2022-04-08,14:44:28,15:07:01,69147.0,3066000.0,"22,550",158.1,155.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,traffic jam outside rush hour (no cause reported),VWM 23,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2981150,2022-04-08,2022-04-08,16:47:28,16:49:00,3527.0,2300000.0,"1,533",160.7,158.4,N,2,N2,ascending,Eindhoven-Centrum,Meerhoven-Zuid,Batadorp,Leenderheide,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2984694,2022-04-12,2022-04-12,16:21:29,16:26:00,11298.0,2501000.0,"4,517",162.1,159.9,A,15,A15,ascending,Elst,Ressen,Gorinchem,Nijmegen,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978771,2022-04-07,2022-04-07,08:46:29,08:51:03,12727.0,2787000.0,"4,567",159.7,156.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978861,2022-04-07,2022-04-07,08:58:27,09:05:02,17392.0,2642000.0,"6,583",159.6,157.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2979162,2022-04-07,2022-04-07,10:18:27,10:20:02,3800.0,2400000.0,"1,583",160.6,158.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,traffic jam outside rush hour (no cause reported),VWM 2,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2979528,2022-04-07,2022-04-07,16:19:30,16:21:00,3000.0,2000000.0,"1,500",159.4,157.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2980848,2022-04-08,2022-04-08,15:42:29,16:16:00,79463.0,2371000.0,"33,517",158.1,156.0,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 34,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2984788,2022-04-12,2022-04-12,16:35:29,16:37:15,2120.0,1200000.0,"1,767",156.0,156.0,A,50,A50,ascending,Valburg verbindingsweg A50 vanuit Eindhoven,A15 richting Arnhem,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2984822,2022-04-12,2022-04-12,16:41:30,16:56:00,60692.0,4186000.0,"14,500",162.1,160.0,A,15,A15,ascending,Elst,Ressen,Gorinchem,Nijmegen,rush hour traffic jam (no cause reported),VWM 14,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2981387,2022-04-08,2022-04-08,17:42:29,17:53:00,31875.0,3031000.0,"10,517",160.9,156.8,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 11,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2984958,2022-04-12,2022-04-12,17:02:30,17:08:00,16005.0,2910000.0,"5,500",162.1,159.4,A,15,A15,ascending,Elst,Ressen,Gorinchem,Nijmegen,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978690,2022-04-07,2022-04-07,08:39:28,08:44:02,10530.0,2306000.0,"4,567",159.6,157.5,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2979175,2022-04-07,2022-04-07,10:46:26,10:49:00,6060.0,2361000.0,"2,567",159.8,157.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,traffic jam outside rush hour (no cause reported),VWM 3,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
