NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month,route
2982405,2022-04-11,2022-04-11,08:59:27,09:01:00,3100.0,2000000.0,"1,550",160.2,158.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978568,2022-04-07,2022-04-07,08:25:28,08:30:03,12175.0,2656000.0,"4,583",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2982413,2022-04-11,2022-04-11,09:03:27,09:09:00,17867.0,3219000.0,"5,550",159.8,156.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978771,2022-04-07,2022-04-07,08:46:29,08:51:03,12727.0,2787000.0,"4,567",159.7,156.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978861,2022-04-07,2022-04-07,08:58:27,09:05:02,17392.0,2642000.0,"6,583",159.6,157.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2984788,2022-04-12,2022-04-12,16:35:29,16:37:15,2120.0,1200000.0,"1,767",156.0,156.0,A,50,A50,ascending,Valburg verbindingsweg A50 vanuit Eindhoven,A15 richting Arnhem,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978690,2022-04-07,2022-04-07,08:39:28,08:44:02,10530.0,2306000.0,"4,567",159.6,157.5,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2983855,2022-04-12,2022-04-12,08:21:28,08:23:00,5060.0,3300000.0,"1,533",159.6,156.3,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2984008,2022-04-12,2022-04-12,08:39:28,09:17:00,144135.0,3840000.0,"37,533",161.9,159.4,A,50,A50,ascending,Heteren,Renkum,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 38,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2983684,2022-04-12,2022-04-12,07:57:27,08:24:00,82132.0,3093000.0,"26,550",158.2,156.0,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 27,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2984597,2022-04-12,2022-04-12,15:57:29,17:56:48,343630.0,2880000.0,"119,317",160.1,158.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,accident (len),VWM 16,Accidents,Accident,Accident,Accident,1,E-A
3000859,2022-04-22,2022-04-22,16:17:29,16:19:00,3185.0,2100000.0,"1,517",160.9,158.8,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997001,2022-04-21,2022-04-21,08:00:27,08:07:00,22087.0,3372000.0,"6,550",159.6,157.3,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997454,2022-04-21,2022-04-21,08:55:29,09:02:01,16873.0,2583000.0,"6,533",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997086,2022-04-21,2022-04-21,08:10:29,08:14:00,7188.0,2044000.0,"3,517",159.6,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997290,2022-04-21,2022-04-21,08:34:29,08:37:02,5100.0,2000000.0,"2,550",159.6,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997343,2022-04-21,2022-04-21,08:40:28,08:48:01,19355.0,2564000.0,"7,550",159.6,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997190,2022-04-21,2022-04-21,08:22:27,09:11:01,182205.0,3752000.0,"48,567",159.6,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 49,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2994383,2022-04-19,2022-04-19,17:24:30,17:28:00,5950.0,1700000.0,"3,500",156.0,156.0,A,50,A50,ascending,Valburg verbindingsweg A50 vanuit Eindhoven,A15 richting Arnhem,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997308,2022-04-21,2022-04-21,08:36:28,08:39:03,5530.0,2141000.0,"2,583",159.6,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997416,2022-04-21,2022-04-21,08:49:27,08:56:01,16780.0,2555000.0,"6,567",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2997535,2022-04-21,2022-04-21,09:03:28,09:06:01,6172.0,2420000.0,"2,550",159.7,157.3,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987784,2022-04-14,2022-04-14,09:11:27,09:13:00,3410.0,2200000.0,"1,550",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987520,2022-04-14,2022-04-14,08:27:27,08:29:00,3410.0,2200000.0,"1,550",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987608,2022-04-14,2022-04-14,08:40:28,08:44:00,8755.0,2478000.0,"3,533",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987701,2022-04-14,2022-04-14,08:53:27,08:58:00,10798.0,2373000.0,"4,550",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987532,2022-04-14,2022-04-14,08:29:27,08:32:00,7287.0,2858000.0,"2,550",159.6,156.8,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987557,2022-04-14,2022-04-14,08:33:28,08:35:01,3410.0,2200000.0,"1,550",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987647,2022-04-14,2022-04-14,08:46:27,08:52:00,13848.0,2495000.0,"5,550",159.6,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987469,2022-04-14,2022-04-14,08:20:27,08:24:02,8902.0,2484000.0,"3,583",159.8,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2987744,2022-04-14,2022-04-14,09:00:27,09:04:00,7992.0,2251000.0,"3,550",159.4,157.3,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
3152694,2022-08-30,2022-08-30,08:40:29,08:43:01,7253.0,2863000.0,"2,533",159.9,157.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3152362,2022-08-30,2022-08-30,07:53:26,09:11:01,392243.0,5056000.0,"77,583",159.8,157.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 78,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3152617,2022-08-30,2022-08-30,08:31:30,08:35:03,8470.0,2386000.0,"3,550",159.6,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3152722,2022-08-30,2022-08-30,08:43:29,08:45:02,5270.0,3400000.0,"1,550",159.7,156.3,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3152491,2022-08-30,2022-08-30,08:12:28,08:20:04,24273.0,3194000.0,"7,600",160.9,158.1,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3152749,2022-08-30,2022-08-30,08:46:28,08:48:01,3565.0,2300000.0,"1,550",159.6,157.3,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3152676,2022-08-30,2022-08-30,08:37:29,08:39:00,3185.0,2100000.0,"1,517",159.8,157.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,2,E-A
3305680,2022-12-05,2022-12-05,07:58:27,08:19:00,86713.0,4220000.0,"20,550",159.6,156.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 21,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3305910,2022-12-05,2022-12-05,08:30:28,08:32:00,3067.0,2000000.0,"1,533",159.7,157.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3307564,2022-12-06,2022-12-06,07:51:27,07:57:00,16422.0,2959000.0,"5,550",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3307681,2022-12-06,2022-12-06,08:04:28,08:06:01,3255.0,2100000.0,"1,550",159.6,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3310190,2022-12-07,2022-12-07,08:18:28,08:20:03,3325.0,2100000.0,"1,583",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3307923,2022-12-06,2022-12-06,08:33:28,08:35:04,3360.0,2100000.0,"1,600",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3305953,2022-12-05,2022-12-05,08:36:28,08:41:00,11640.0,2568000.0,"4,533",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3305855,2022-12-05,2022-12-05,08:23:28,08:25:03,3642.0,2300000.0,"1,583",159.4,157.1,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3305873,2022-12-05,2022-12-05,08:25:28,08:36:00,37623.0,3572000.0,"10,533",159.7,156.9,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 11,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3307306,2022-12-06,2022-12-06,07:13:25,09:09:00,618505.0,5351000.0,"115,583",158.9,156.8,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 116,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3301745,2022-12-01,2022-12-01,08:12:29,08:14:00,3033.0,2000000.0,"1,517",158.9,156.9,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3301459,2022-12-01,2022-12-01,07:38:27,07:52:00,36402.0,2686000.0,"13,550",159.1,157.0,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 14,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3301911,2022-12-01,2022-12-01,08:34:29,08:36:00,5157.0,3400000.0,"1,517",159.7,156.3,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3301593,2022-12-01,2022-12-01,07:53:27,07:57:00,7290.0,2054000.0,"3,550",158.5,156.5,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3312617,2022-12-08,2022-12-08,08:11:28,08:16:00,11507.0,2538000.0,"4,533",159.6,157.3,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3317487,2022-12-12,2022-12-12,07:29:26,07:31:01,4275.0,2700000.0,"1,583",159.6,157.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3318032,2022-12-12,2022-12-12,08:51:28,08:54:00,5940.0,2345000.0,"2,533",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3312312,2022-12-08,2022-12-08,07:40:26,07:43:00,6527.0,2543000.0,"2,567",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3312771,2022-12-08,2022-12-08,08:27:28,08:29:01,3255.0,2100000.0,"1,550",159.6,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3317706,2022-12-12,2022-12-12,07:58:28,08:25:03,87403.0,3288000.0,"26,583",159.6,157.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 27,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3317967,2022-12-12,2022-12-12,08:37:28,08:47:00,31842.0,3340000.0,"9,533",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 10,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3317927,2022-12-12,2022-12-12,08:29:28,08:32:00,8420.0,3324000.0,"2,533",159.7,156.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3331321,2022-12-20,2022-12-20,07:40:27,07:43:00,7737.0,3034000.0,"2,550",159.6,156.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3329842,2022-12-19,2022-12-19,07:56:28,07:58:00,5060.0,3300000.0,"1,533",159.6,156.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3332117,2022-12-20,2022-12-20,10:03:29,10:08:00,13678.0,3028000.0,"4,517",159.9,156.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,traffic jam outside rush hour (no cause reported),VWM 5,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3332078,2022-12-20,2022-12-20,09:41:29,09:50:04,35072.0,4086000.0,"8,583",160.6,156.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 9,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3332100,2022-12-20,2022-12-20,09:51:29,09:55:03,7530.0,2111000.0,"3,567",157.5,155.5,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3332022,2022-12-20,2022-12-20,09:20:29,09:22:00,5612.0,3700000.0,"1,517",159.6,155.9,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3324653,2022-12-15,2022-12-15,08:19:30,08:21:00,4350.0,2900000.0,"1,500",159.7,156.8,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3320530,2022-12-13,2022-12-13,09:19:29,09:21:00,3185.0,2100000.0,"1,517",159.6,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
3322408,2022-12-14,2022-12-14,07:49:28,07:52:00,7027.0,2774000.0,"2,533",159.6,156.9,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,3,E-A
