NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause Code Progression,Cause Code,Cause 1,Cause 2,Cause 3,Cause 4,Month
2975508,2022-04-05,2022-04-05,09:52:30,09:54:00,4500.0,3000000.0,"1,500",181.7,184.7,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972855,2022-04-04,2022-04-04,07:45:29,07:47:00,4853.0,3200000.0,"1,517",179.5,182.7,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973135,2022-04-04,2022-04-04,08:41:32,08:59:01,65143.0,3726000.0,"17,483",163.8,166.1,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 17,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975084,2022-04-05,2022-04-05,08:32:31,08:35:02,5440.0,2162000.0,"2,517",181.6,183.7,A,50,A50,descending,Arnhem-Centrum,Waterberg,Apeldoorn,Arnhem,rush hour traffic jam (no cause reported),VWM 3,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975146,2022-04-05,2022-04-05,08:40:32,08:42:00,2933.0,2000000.0,"1,467",162.8,164.8,A,1,A1,descending,Oldenzaal,Hengelo-Noord,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975770,2022-04-05,2022-04-05,16:11:32,16:16:00,12625.0,2826000.0,"4,467",161.4,163.9,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972778,2022-04-04,2022-04-04,07:21:29,07:23:00,3488.0,2300000.0,"1,517",164.4,166.7,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972863,2022-04-04,2022-04-04,07:47:29,07:49:00,3488.0,2300000.0,"1,517",180.5,182.8,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972955,2022-04-04,2022-04-04,08:06:30,08:10:02,8043.0,2276000.0,"3,533",159.4,161.7,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973050,2022-04-04,2022-04-04,08:26:31,08:35:02,21745.0,2553000.0,"8,517",180.8,183.5,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 9,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974511,2022-04-05,2022-04-05,06:56:26,06:59:00,6640.0,2587000.0,"2,567",162.7,165.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977016,2022-04-06,2022-04-06,08:44:33,08:58:00,36005.0,2677000.0,"13,450",163.8,166.2,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 13,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974570,2022-04-05,2022-04-05,07:22:28,07:49:00,77775.0,2931000.0,"26,533",164.1,166.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 27,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974858,2022-04-05,2022-04-05,08:06:30,08:12:00,15345.0,2790000.0,"5,500",161.0,164.2,N,2,N2,descending,Meerhoven-Zuid,Eindhoven-Centrum,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 6,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975123,2022-04-05,2022-04-05,08:36:32,08:41:01,9383.0,2093000.0,"4,483",159.4,161.5,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975366,2022-04-05,2022-04-05,09:09:31,09:11:00,2967.0,2000000.0,"1,483",164.1,166.1,A,1,A1,descending,Oldenzaal,Hengelo-Noord,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972873,2022-04-04,2022-04-04,07:49:29,08:21:00,138770.0,4403000.0,"31,517",159.5,161.7,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 32,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974519,2022-04-05,2022-04-05,06:59:27,07:01:00,3255.0,2100000.0,"1,550",164.2,166.3,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974699,2022-04-05,2022-04-05,07:46:30,07:48:03,3100.0,2000000.0,"1,550",181.6,183.6,A,50,A50,descending,Arnhem-Centrum,Waterberg,Apeldoorn,Arnhem,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975164,2022-04-05,2022-04-05,08:41:32,08:55:02,54955.0,4071000.0,"13,500",159.0,164.0,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 14,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975165,2022-04-05,2022-04-05,08:42:32,08:48:02,16647.0,3027000.0,"5,500",163.7,167.3,A,1,A1,descending,Oldenzaal,Hengelo-Noord,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 6,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978071,2022-04-07,2022-04-07,07:14:25,07:33:00,63277.0,3405000.0,"18,583",163.4,165.5,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 19,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972877,2022-04-04,2022-04-04,07:50:29,08:19:00,101798.0,3570000.0,"28,517",181.2,183.4,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 29,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972971,2022-04-04,2022-04-04,08:10:30,08:12:00,3600.0,2400000.0,"1,500",159.7,162.1,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973260,2022-04-04,2022-04-04,08:59:31,09:07:00,34287.0,4582000.0,"7,483",164.4,169.8,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 7,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974523,2022-04-05,2022-04-05,07:01:27,07:13:00,35428.0,3067000.0,"11,550",164.1,166.7,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 12,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974583,2022-04-05,2022-04-05,07:26:29,08:42:01,506100.0,6700000.0,"75,533",155.0,157.1,A,1,A1,descending,Hengelo,Buren,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 76,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978144,2022-04-07,2022-04-07,07:34:26,07:36:00,4073.0,2600000.0,"1,567",179.6,182.2,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978205,2022-04-07,2022-04-07,07:42:27,09:03:02,351287.0,4359000.0,"80,583",159.5,161.6,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 81,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978409,2022-04-07,2022-04-07,08:08:27,08:44:01,220765.0,6207000.0,"35,567",155.0,157.7,A,1,A1,descending,Hengelo,Buren,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 36,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972887,2022-04-04,2022-04-04,07:51:29,07:53:00,3792.0,2500000.0,"1,517",163.8,166.3,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972978,2022-04-04,2022-04-04,08:12:30,08:17:00,15445.0,3432000.0,"4,500",179.4,183.2,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975228,2022-04-05,2022-04-05,08:50:31,08:53:00,5435.0,2189000.0,"2,483",175.5,177.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975462,2022-04-05,2022-04-05,09:32:30,09:43:00,25945.0,2471000.0,"10,500",181.6,183.7,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 10,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978147,2022-04-07,2022-04-07,07:35:25,07:38:00,6200.0,2400000.0,"2,583",163.5,165.9,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978231,2022-04-07,2022-04-07,07:46:26,09:20:04,707283.0,7554000.0,"93,633",181.7,187.1,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 94,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978318,2022-04-07,2022-04-07,07:57:27,08:02:00,11480.0,2523000.0,"4,550",181.6,183.8,A,50,A50,descending,Arnhem-Centrum,Waterberg,Apeldoorn,Arnhem,rush hour traffic jam (no cause reported),VWM 5,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978352,2022-04-07,2022-04-07,08:01:27,08:08:01,15780.0,2403000.0,"6,567",159.5,161.8,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 7,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978381,2022-04-07,2022-04-07,08:04:27,08:16:01,33412.0,2889000.0,"11,567",181.6,184.2,A,50,A50,descending,Arnhem-Centrum,Waterberg,Apeldoorn,Arnhem,rush hour traffic jam (no cause reported),VWM 12,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978421,2022-04-07,2022-04-07,08:08:27,08:10:03,4000.0,2500000.0,"1,600",159.4,161.9,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972804,2022-04-04,2022-04-04,07:31:29,07:33:00,3488.0,2300000.0,"1,517",164.6,166.9,A,2,A2,descending,Leenderheide,De Hogt,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973501,2022-04-04,2022-04-04,13:46:30,15:09:59,383553.0,4594000.0,"83,483",153.4,155.6,A,50,A50,descending,Valburg,Tacitusbrug,Arnhem,Oss,accident (len),VWM 8,"[000], [ACI], [ACA]",ACI,Accidents,Accident,Accident,Accident,1
2974717,2022-04-05,2022-04-05,07:50:29,07:54:00,8468.0,2408000.0,"3,517",163.3,166.0,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975326,2022-04-05,2022-04-05,09:00:31,09:02:00,6675.0,4500000.0,"1,483",175.9,180.4,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975398,2022-04-05,2022-04-05,09:16:31,09:30:03,46482.0,3435000.0,"13,533",175.9,178.0,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 14,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978457,2022-04-07,2022-04-07,08:12:27,08:23:00,30672.0,2907000.0,"10,550",175.5,177.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 11,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978488,2022-04-07,2022-04-07,08:15:28,08:21:01,13310.0,2398000.0,"5,550",159.5,161.9,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 6,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976945,2022-04-06,2022-04-06,08:28:32,08:30:02,3450.0,2300000.0,"1,500",159.2,161.5,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976946,2022-04-06,2022-04-06,08:29:30,08:31:00,3300.0,2200000.0,"1,500",163.7,165.9,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974596,2022-04-05,2022-04-05,07:28:29,07:30:02,3255.0,2100000.0,"1,550",181.3,183.4,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976986,2022-04-06,2022-04-06,08:38:32,08:43:00,11010.0,2465000.0,"4,467",163.9,166.6,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976988,2022-04-06,2022-04-06,08:38:32,08:40:03,3185.0,2100000.0,"1,517",159.3,161.4,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2971929,2022-04-01,2022-04-01,15:50:33,15:53:00,5145.0,2100000.0,"2,450",164.4,166.5,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974728,2022-04-05,2022-04-05,07:51:29,07:56:02,15330.0,3369000.0,"4,550",175.5,178.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 5,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974976,2022-04-05,2022-04-05,08:20:31,08:26:02,15810.0,2866000.0,"5,517",159.6,162.5,A,15,A15,descending,Elst,Valburg,Nijmegen,Gorinchem,rush hour traffic jam (no cause reported),VWM 6,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975485,2022-04-05,2022-04-05,09:41:30,09:52:00,33152.0,3157000.0,"10,500",177.1,180.3,A,2,A2,descending,Leende,Valkenswaard,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 10,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975585,2022-04-05,2022-04-05,12:09:30,12:13:00,7100.0,2029000.0,"3,500",174.7,176.7,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,traffic jam outside rush hour (no cause reported),VWM 4,[000],003,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975588,2022-04-05,2022-04-05,12:13:30,12:15:02,3373.0,2200000.0,"1,533",174.9,177.1,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,traffic jam outside rush hour (no cause reported),VWM 2,[000],003,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977071,2022-04-06,2022-04-06,09:00:31,09:02:00,3115.0,2100000.0,"1,483",164.3,166.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2977075,2022-04-06,2022-04-06,09:02:32,09:06:00,8470.0,2443000.0,"3,467",164.7,166.8,A,2,A2,descending,Leenderheide,De Hogt,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978188,2022-04-07,2022-04-07,07:40:26,09:37:00,465998.0,3998000.0,"116,567",164.1,166.1,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 117,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2978192,2022-04-07,2022-04-07,07:40:26,07:42:00,3290.0,2100000.0,"1,567",181.6,183.7,A,50,A50,descending,Arnhem-Centrum,Waterberg,Apeldoorn,Arnhem,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972904,2022-04-04,2022-04-04,07:55:30,08:47:00,237035.0,4603000.0,"51,500",163.8,166.2,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,defective vehicle (s),VWM 21,"[000], [BKD], [000]",BKD,Defective Vehicle(s),Defective Vehicle,Incident (Stranded Vehicle),Incident,1
2974668,2022-04-05,2022-04-05,07:42:29,07:51:00,34182.0,4014000.0,"8,517",173.5,178.2,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 9,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974732,2022-04-05,2022-04-05,07:51:29,08:05:02,35703.0,2635000.0,"13,550",181.6,183.6,A,50,A50,descending,Arnhem-Centrum,Waterberg,Apeldoorn,Arnhem,rush hour traffic jam (no cause reported),VWM 14,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
