NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month,route
2975793,2022-04-05,2022-04-05,16:16:32,16:27:00,28020.0,2677000.0,"10,467",158.0,155.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 10,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2976181,2022-04-05,2022-04-05,17:16:32,17:47:00,113950.0,3740000.0,"30,467",177.6,174.2,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 30,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2977836,2022-04-06,2022-04-06,17:51:29,17:57:01,16947.0,3063000.0,"5,533",160.7,157.1,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 6,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2978071,2022-04-07,2022-04-07,07:14:25,07:33:00,63277.0,3405000.0,"18,583",163.4,165.5,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 19,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2971671,2022-04-01,2022-04-01,11:06:30,12:06:44,166003.0,2756000.0,"60,233",158.0,156.0,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,defective truck (s),VWM 23,Defective truck(s),Defective Truck,Incident (stranded vehicle),Incident,1,M-E
2972877,2022-04-04,2022-04-04,07:50:29,08:19:00,101798.0,3570000.0,"28,517",181.2,183.4,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 29,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973260,2022-04-04,2022-04-04,08:59:31,09:07:00,34287.0,4582000.0,"7,483",164.4,169.8,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 7,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973867,2022-04-04,2022-04-04,16:45:32,16:47:00,2933.0,2000000.0,"1,467",158.6,156.6,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974523,2022-04-05,2022-04-05,07:01:27,07:13:00,35428.0,3067000.0,"11,550",164.1,166.7,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 12,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2976186,2022-04-05,2022-04-05,17:17:32,17:23:00,12663.0,2316000.0,"5,467",158.1,155.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 5,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2978144,2022-04-07,2022-04-07,07:34:26,07:36:00,4073.0,2600000.0,"1,567",179.6,182.2,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972887,2022-04-04,2022-04-04,07:51:29,07:53:00,3792.0,2500000.0,"1,517",163.8,166.3,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972978,2022-04-04,2022-04-04,08:12:30,08:17:00,15445.0,3432000.0,"4,500",179.4,183.2,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973875,2022-04-04,2022-04-04,16:47:32,16:51:00,7973.0,2300000.0,"3,467",158.7,156.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974478,2022-04-05,2022-04-05,06:43:25,06:54:02,38887.0,3663000.0,"10,617",164.6,160.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 11,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975228,2022-04-05,2022-04-05,08:50:31,08:53:00,5435.0,2189000.0,"2,483",175.5,177.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975462,2022-04-05,2022-04-05,09:32:30,09:43:00,25945.0,2471000.0,"10,500",181.6,183.7,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 10,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2978147,2022-04-07,2022-04-07,07:35:25,07:38:00,6200.0,2400000.0,"2,583",163.5,165.9,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2978231,2022-04-07,2022-04-07,07:46:26,09:20:04,707283.0,7554000.0,"93,633",181.7,187.1,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 94,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972804,2022-04-04,2022-04-04,07:31:29,07:33:00,3488.0,2300000.0,"1,517",164.6,166.9,A,2,A2,descending,Leenderheide,De Hogt,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974536,2022-04-05,2022-04-05,07:06:27,07:09:00,6085.0,2386000.0,"2,550",159.9,157.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2974717,2022-04-05,2022-04-05,07:50:29,07:54:00,8468.0,2408000.0,"3,517",163.3,166.0,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975326,2022-04-05,2022-04-05,09:00:31,09:02:00,6675.0,4500000.0,"1,483",175.9,180.4,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975398,2022-04-05,2022-04-05,09:16:31,09:30:03,46482.0,3435000.0,"13,533",175.9,178.0,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 14,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2978457,2022-04-07,2022-04-07,08:12:27,08:23:00,30672.0,2907000.0,"10,550",175.5,177.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 11,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2976946,2022-04-06,2022-04-06,08:29:30,08:31:00,3300.0,2200000.0,"1,500",163.7,165.9,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974596,2022-04-05,2022-04-05,07:28:29,07:30:02,3255.0,2100000.0,"1,550",181.3,183.4,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2975727,2022-04-05,2022-04-05,16:01:32,16:13:00,32520.0,2836000.0,"11,467",162.6,160.3,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 11,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2976986,2022-04-06,2022-04-06,08:38:32,08:43:00,11010.0,2465000.0,"4,467",163.9,166.6,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2971818,2022-04-01,2022-04-01,14:34:32,14:36:00,3227.0,2200000.0,"1,467",178.1,175.9,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,traffic jam outside rush hour (no cause reported),VWM 1,File outside striker (no cause reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2971822,2022-04-01,2022-04-01,14:36:32,14:38:00,3080.0,2100000.0,"1,467",177.9,175.8,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,traffic jam outside rush hour (no cause reported),VWM 1,File outside striker (no cause reported),No Cause Reported,Rush,High Intensity,1,M-E
2971929,2022-04-01,2022-04-01,15:50:33,15:53:00,5145.0,2100000.0,"2,450",164.4,166.5,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973989,2022-04-04,2022-04-04,17:06:32,17:15:02,26805.0,3154000.0,"8,500",177.6,174.2,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 8,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2973994,2022-04-04,2022-04-04,17:07:32,17:42:00,79922.0,2319000.0,"34,467",158.0,155.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 34,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974728,2022-04-05,2022-04-05,07:51:29,07:56:02,15330.0,3369000.0,"4,550",175.5,178.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 5,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975485,2022-04-05,2022-04-05,09:41:30,09:52:00,33152.0,3157000.0,"10,500",177.1,180.3,A,2,A2,descending,Leende,Valkenswaard,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 10,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975585,2022-04-05,2022-04-05,12:09:30,12:13:00,7100.0,2029000.0,"3,500",174.7,176.7,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,traffic jam outside rush hour (no cause reported),VWM 4,File outside striker (no cause reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975588,2022-04-05,2022-04-05,12:13:30,12:15:02,3373.0,2200000.0,"1,533",174.9,177.1,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,traffic jam outside rush hour (no cause reported),VWM 2,File outside striker (no cause reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2977071,2022-04-06,2022-04-06,09:00:31,09:02:00,3115.0,2100000.0,"1,483",164.3,166.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2977075,2022-04-06,2022-04-06,09:02:32,09:06:00,8470.0,2443000.0,"3,467",164.7,166.8,A,2,A2,descending,Leenderheide,De Hogt,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2977787,2022-04-06,2022-04-06,17:42:29,17:45:03,5220.0,2034000.0,"2,567",162.4,160.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2978188,2022-04-07,2022-04-07,07:40:26,09:37:00,465998.0,3998000.0,"116,567",164.1,166.1,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 117,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972904,2022-04-04,2022-04-04,07:55:30,08:47:00,237035.0,4603000.0,"51,500",163.8,166.2,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,defective vehicle (s),VWM 21,Defective vehicle(s),Defective vehicle,Incident (stranded vehicle),Incident,1,M-E
2973801,2022-04-04,2022-04-04,16:34:32,16:36:00,2933.0,2000000.0,"1,467",158.8,156.8,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973901,2022-04-04,2022-04-04,16:51:32,17:07:00,36963.0,2390000.0,"15,467",158.5,156.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 15,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2974668,2022-04-05,2022-04-05,07:42:29,07:51:00,34182.0,4014000.0,"8,517",173.5,178.2,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 9,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2974895,2022-04-05,2022-04-05,08:11:31,08:14:01,5168.0,2067000.0,"2,500",163.3,165.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2977817,2022-04-06,2022-04-06,17:46:29,17:51:00,20223.0,4477000.0,"4,517",160.7,156.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 5,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
